action,price,quantity,realized_pnl,unrealized_pnl
Buy,103675.25,1.00,0.00,-0.10
Buy,103683.58,1.00,0.00,8.13
Buy,103683.57,1.00,0.00,8.01
Buy,103683.58,1.00,0.00,7.94
Buy,103683.58,1.00,0.00,7.84
Sell,103675.10,1.00,-6.81,-27.25
Sell,103668.71,1.00,-20.01,-39.61
Sell,103654.57,1.00,-47.36,-54.68
Sell,103666.65,1.00,-62.62,-15.26
Sell,103666.65,1.00,-77.88,-0.00
Buy,103666.75,1.00,-77.88,-0.10
Buy,103666.84,1.00,-77.88,-0.11
Sell,103666.63,1.00,-78.05,-0.17
Buy,103666.85,1.00,-78.05,-0.15
Buy,103667.00,1.00,-78.05,0.05
Buy,103675.20,1.00,-78.05,24.55
Buy,103675.20,1.00,-78.05,24.45
Buy,103675.21,1.00,-78.05,24.41
Buy,103675.20,1.00,-78.05,24.24
Sell,103673.53,1.00,-76.15,11.36
Buy,103675.21,1.00,-76.15,20.74
Sell,103669.10,1.00,-79.20,-18.28
Sell,103674.67,1.00,-76.68,12.62
Sell,103673.30,1.00,-75.52,4.61
Sell,103666.63,1.00,-81.04,-16.55
Sell,103666.63,1.00,-86.56,-11.03
Sell,103666.62,1.00,-92.08,-5.53
Sell,103666.63,1.00,-97.60,-0.00
Buy,103644.05,1.00,-97.60,-0.10
Buy,103644.33,1.00,-97.60,0.08
Buy,103646.71,1.00,-97.60,4.74
Buy,103646.71,1.00,-97.60,4.64
Buy,103644.34,1.00,-97.60,-4.94
Sell,103644.22,1.00,-98.61,-4.03
Sell,103644.13,1.00,-99.71,-3.29
Sell,103643.66,1.00,-101.27,-3.14
Sell,103643.66,1.00,-102.84,-1.57
Sell,103643.34,1.00,-104.73,-0.00
action,price,quantity,realized_pnl,unrealized_pnl
Buy,103692.66,1.00,0.00,-0.10
Buy,103692.66,1.00,0.00,-0.20
Buy,103692.68,1.00,0.00,-0.26
Buy,103692.67,1.00,0.00,-0.39
Buy,103694.92,1.00,0.00,8.51
Buy,103696.43,1.00,0.00,15.96
Buy,103693.68,1.00,0.00,-0.64
Sell,103690.17,1.00,-3.50,-21.01
Sell,103688.75,1.00,-8.42,-24.61
Sell,103688.44,1.00,-13.65,-20.93
Sell,103688.44,1.00,-18.89,-15.69
Sell,103684.20,1.00,-28.36,-18.94
Sell,103684.20,1.00,-37.83,-9.47
Sell,103679.33,1.00,-52.17,-0.00
Buy,103684.20,1.00,-52.17,-0.10
Buy,103684.22,1.00,-52.17,-0.18
Buy,103684.22,1.00,-52.17,-0.28
Buy,103684.32,1.00,-52.17,-0.08
Buy,103685.76,1.00,-52.17,5.58
Buy,103685.76,1.00,-52.17,5.48
Buy,103685.75,1.00,-52.17,5.32
Buy,103685.76,1.00,-52.17,5.29
Buy,103688.40,1.00,-52.17,26.31
Buy,103688.39,1.00,-52.17,26.12
Buy,103688.39,1.00,-52.17,26.02
Buy,103688.39,1.00,-52.17,25.92
Buy,103688.58,1.00,-52.17,28.10
Buy,103696.53,1.00,-52.17,131.35
Buy,103696.53,1.00,-52.17,131.25
Buy,103696.53,1.00,-52.17,131.15
Buy,103696.53,1.00,-52.17,131.05
Sell,103693.09,1.00,-47.80,69.90
Sell,103693.09,1.00,-43.43,65.53
Sell,103693.10,1.00,-39.05,61.30
Sell,103693.16,1.00,-34.61,57.70
Buy,103693.27,1.00,-34.61,57.73
Buy,103693.28,1.00,-34.61,57.77
Buy,103693.29,1.00,-34.61,57.82
Buy,103695.58,1.00,-34.61,94.36
Buy,103695.58,1.00,-34.61,94.26
Buy,103695.61,1.00,-34.61,94.70
Buy,103695.61,1.00,-34.61,94.60
